Date,Store_ID,Item_ID,Medicine_Name,Category,Base_Price,Promotion,Holiday,Units_Sold
2025-04-16,Claire Drughouse,M108,Amoxicillin,Antibiotic,180,0,1,74
2025-04-10,SmartMed Pharmacy,M104,Vitamin C,Vitamin,120,1,0,85
2025-04-10,SmartMed Pharmacy,M109,Azithromycin,Antibiotic,220,1,0,74
2025-10-29,Chen Drugstore,M110,Cetirizine,Allergy,40,1,0,111
2025-10-25,Apollo Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,81
2025-07-24,Apollo Pharmacy,M112,Cough Syrup,Cough,140,1,0,106
2025-09-20,Chen Drugstore,M116,Iron Tablet,Supplement,180,1,0,113
2025-02-28,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,75
2025-10-17,Apollo Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,0,60
2025-12-01,Clarkson's Pharma,M114,Pantoprazole,Antacid,110,0,0,88
2025-08-27,Lakshya Medicals,M120,Hand Sanitizer,Hygiene,90,0,1,101
2025-06-27,City Medicals,M108,Amoxicillin,Antibiotic,180,0,0,75
2025-11-12,HealthMart,M106,Insulin,Diabetes,550,1,0,58
2025-10-18,Chen Drugstore,M102,Crocin,Painkiller,35,0,0,83
2025-05-10,Apollo Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,78
2025-10-23,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,1,0,103
2025-05-30,BMS Pharmacy,M106,Insulin,Diabetes,550,0,0,64
2025-05-27,Lakshya Medicals,M106,Insulin,Diabetes,550,1,0,81
2025-08-12,HealthMart,M106,Insulin,Diabetes,550,0,0,58
2025-03-01,Sara Medicos,M111,Benadryl,Cough,90,0,0,79
2025-01-07,Chen Drugstore,M111,Benadryl,Cough,90,0,0,73
2025-05-22,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,0,73
2025-08-12,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,0,0,60
2025-05-20,Sara Medicos,M108,Amoxicillin,Antibiotic,180,0,0,62
2025-11-30,BMS Pharmacy,M113,Digene,Antacid,60,1,1,109
2025-02-12,HealthMart,M119,Eye Drops,Eye Care,160,0,0,68
2025-01-11,Chen Drugstore,M101,Paracetamol,Painkiller,25,0,1,106
2025-04-08,Lakshya Medicals,M115,Calcium Tablet,Supplement,250,0,0,72
2025-01-10,BMS Pharmacy,M103,Dolo 650,Painkiller,30,0,0,68
2025-07-17,Chen Drugstore,M101,Paracetamol,Painkiller,25,1,0,103
2025-02-09,City Medicals,M103,Dolo 650,Painkiller,30,0,0,78
2025-01-28,SmartMed Pharmacy,M102,Crocin,Painkiller,35,0,0,64
2025-11-25,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,83
2025-06-10,BMS Pharmacy,M116,Iron Tablet,Supplement,180,0,0,63
2025-04-01,City Medicals,M104,Vitamin C,Vitamin,120,0,0,61
2025-04-25,Apollo Pharmacy,M119,Eye Drops,Eye Care,160,0,0,72
2025-01-22,Lakshya Medicals,M118,Asthma Inhaler,Respiratory,450,1,0,81
2025-08-10,Chen Drugstore,M108,Amoxicillin,Antibiotic,180,0,0,86
2025-03-17,HealthMart,M109,Azithromycin,Antibiotic,220,1,0,93
2025-12-05,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,72
2025-11-21,BMS Pharmacy,M113,Digene,Antacid,60,1,0,90
2025-11-14,Claire Drughouse,M103,Dolo 650,Painkiller,30,1,0,106
2025-07-01,BMS Pharmacy,M117,BP Tablet,Cardiac,320,1,0,87
2025-11-30,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,1,0,95
2025-12-08,Sara Medicos,M114,Pantoprazole,Antacid,110,0,0,71
2025-05-03,Lakshya Medicals,M102,Crocin,Painkiller,35,0,0,80
2025-10-03,Sara Medicos,M103,Dolo 650,Painkiller,30,1,0,88
2025-01-30,Claire Drughouse,M108,Amoxicillin,Antibiotic,180,0,0,73
2025-05-14,Sara Medicos,M101,Paracetamol,Painkiller,25,1,1,120
2025-03-13,Lakshya Medicals,M110,Cetirizine,Allergy,40,1,0,96
2025-02-05,SmartMed Pharmacy,M109,Azithromycin,Antibiotic,220,0,0,60
2025-01-18,Claire Drughouse,M114,Pantoprazole,Antacid,110,0,0,79
2025-10-03,Sara Medicos,M101,Paracetamol,Painkiller,25,0,0,85
2025-09-17,Claire Drughouse,M118,Asthma Inhaler,Respiratory,450,0,0,53
2025-12-10,Clarkson's Pharma,M116,Iron Tablet,Supplement,180,0,0,83
2025-03-30,Lakshya Medicals,M115,Calcium Tablet,Supplement,250,1,0,102
2025-09-04,Clarkson's Pharma,M106,Insulin,Diabetes,550,1,1,81
2025-04-19,City Medicals,M110,Cetirizine,Allergy,40,0,1,118
2025-02-10,Clarkson's Pharma,M106,Insulin,Diabetes,550,1,1,101
2025-12-16,Claire Drughouse,M118,Asthma Inhaler,Respiratory,450,1,0,74
2025-07-11,Clarkson's Pharma,M101,Paracetamol,Painkiller,25,1,0,86
2025-09-13,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,77
2025-03-05,Lakshya Medicals,M103,Dolo 650,Painkiller,30,0,0,78
2025-08-26,BMS Pharmacy,M104,Vitamin C,Vitamin,120,0,0,76
2025-07-23,City Medicals,M115,Calcium Tablet,Supplement,250,0,0,70
2025-04-18,HealthMart,M117,BP Tablet,Cardiac,320,1,0,92
2025-08-24,Clarkson's Pharma,M112,Cough Syrup,Cough,140,1,0,109
2025-06-05,Clarkson's Pharma,M105,ORS,Hydration,25,1,0,105
2025-05-26,Claire Drughouse,M119,Eye Drops,Eye Care,160,1,0,101
2025-04-21,BMS Pharmacy,M114,Pantoprazole,Antacid,110,0,0,59
2025-11-12,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,0,67
2025-12-06,Lakshya Medicals,M111,Benadryl,Cough,90,0,0,82
2025-04-21,Lakshya Medicals,M119,Eye Drops,Eye Care,160,0,0,68
2025-01-02,City Medicals,M103,Dolo 650,Painkiller,30,0,0,88
2025-10-09,BMS Pharmacy,M117,BP Tablet,Cardiac,320,0,1,72
2025-11-30,Claire Drughouse,M112,Cough Syrup,Cough,140,0,0,73
2025-11-22,Apollo Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,70
2025-07-14,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,70
2025-11-08,BMS Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,83
2025-10-01,Chen Drugstore,M119,Eye Drops,Eye Care,160,1,0,85
2025-12-05,BMS Pharmacy,M112,Cough Syrup,Cough,140,0,0,85
2025-08-15,SmartMed Pharmacy,M107,Metformin,Diabetes,80,0,0,83
2025-03-30,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,72
2025-07-31,Chen Drugstore,M118,Asthma Inhaler,Respiratory,450,0,0,69
2025-01-11,Sara Medicos,M102,Crocin,Painkiller,35,0,0,78
2025-05-07,HealthMart,M103,Dolo 650,Painkiller,30,1,0,90
2025-08-16,City Medicals,M114,Pantoprazole,Antacid,110,0,0,90
2025-01-26,BMS Pharmacy,M103,Dolo 650,Painkiller,30,1,1,124
2025-08-28,City Medicals,M117,BP Tablet,Cardiac,320,0,0,54
2025-09-03,SmartMed Pharmacy,M108,Amoxicillin,Antibiotic,180,1,0,91
2025-05-30,HealthMart,M108,Amoxicillin,Antibiotic,180,1,0,105
2025-08-09,Sara Medicos,M106,Insulin,Diabetes,550,0,0,63
2025-07-01,Chen Drugstore,M101,Paracetamol,Painkiller,25,0,0,87
2025-11-08,BMS Pharmacy,M101,Paracetamol,Painkiller,25,0,0,101
2025-07-26,SmartMed Pharmacy,M104,Vitamin C,Vitamin,120,1,0,96
2025-01-09,SmartMed Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,77
2025-02-26,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,0,0,80
2025-09-16,Claire Drughouse,M107,Metformin,Diabetes,80,0,0,72
2025-02-16,SmartMed Pharmacy,M119,Eye Drops,Eye Care,160,0,0,94
2025-06-14,SmartMed Pharmacy,M119,Eye Drops,Eye Care,160,0,0,82
2025-04-16,SmartMed Pharmacy,M117,BP Tablet,Cardiac,320,0,0,51
2025-11-18,Chen Drugstore,M106,Insulin,Diabetes,550,0,0,43
2025-02-12,Clarkson's Pharma,M106,Insulin,Diabetes,550,0,0,65
2025-10-13,SmartMed Pharmacy,M116,Iron Tablet,Supplement,180,0,0,59
2025-07-28,Sara Medicos,M112,Cough Syrup,Cough,140,0,0,73
2025-02-13,BMS Pharmacy,M101,Paracetamol,Painkiller,25,1,0,96
2025-10-31,Claire Drughouse,M110,Cetirizine,Allergy,40,1,1,111
2025-10-22,Claire Drughouse,M106,Insulin,Diabetes,550,0,0,52
2025-03-01,Chen Drugstore,M112,Cough Syrup,Cough,140,1,0,99
2025-01-19,HealthMart,M115,Calcium Tablet,Supplement,250,1,0,112
2025-01-26,Clarkson's Pharma,M105,ORS,Hydration,25,0,0,93
2025-06-09,SmartMed Pharmacy,M111,Benadryl,Cough,90,0,0,73
2025-07-30,City Medicals,M108,Amoxicillin,Antibiotic,180,1,0,105
2025-11-03,Sara Medicos,M116,Iron Tablet,Supplement,180,1,0,85
2025-06-20,BMS Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,72
2025-05-28,Claire Drughouse,M114,Pantoprazole,Antacid,110,0,1,76
2025-07-14,Claire Drughouse,M116,Iron Tablet,Supplement,180,0,0,72
2025-09-20,Clarkson's Pharma,M105,ORS,Hydration,25,0,0,87
2025-04-06,HealthMart,M112,Cough Syrup,Cough,140,0,0,92
2025-05-03,Sara Medicos,M103,Dolo 650,Painkiller,30,1,0,122
2025-10-27,BMS Pharmacy,M101,Paracetamol,Painkiller,25,0,0,81
2025-07-17,Sara Medicos,M111,Benadryl,Cough,90,0,0,74
2025-11-29,SmartMed Pharmacy,M113,Digene,Antacid,60,0,1,113
2025-11-25,Claire Drughouse,M105,ORS,Hydration,25,0,0,90
