Date,Store_ID,Item_ID,Medicine_Name,Category,Base_Price,Promotion,Holiday,Units_Sold,Day_of_Week,Month,Is_Weekend
2025-04-16,Claire Drughouse,M108,Amoxicillin,Antibiotic,180,0,1,74,Wednesday,April,0
2025-04-10,SmartMed Pharmacy,M104,Vitamin C,Vitamin,120,1,0,85,Thursday,April,0
2025-04-10,SmartMed Pharmacy,M109,Azithromycin,Antibiotic,220,1,0,74,Thursday,April,0
2025-10-29,Chen Drugstore,M110,Cetirizine,Allergy,40,1,0,111,Wednesday,October,0
2025-10-25,Apollo Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,81,Saturday,October,1
2025-07-24,Apollo Pharmacy,M112,Cough Syrup,Cough,140,1,0,106,Thursday,July,0
2025-09-20,Chen Drugstore,M116,Iron Tablet,Supplement,180,1,0,113,Saturday,September,1
2025-02-28,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,75,Friday,February,0
2025-10-17,Apollo Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,0,60,Friday,October,0
2025-12-01,Clarkson's Pharma,M114,Pantoprazole,Antacid,110,0,0,88,Monday,December,0
2025-08-27,Lakshya Medicals,M120,Hand Sanitizer,Hygiene,90,0,1,101,Wednesday,August,0
2025-06-27,City Medicals,M108,Amoxicillin,Antibiotic,180,0,0,75,Friday,June,0
2025-11-12,HealthMart,M106,Insulin,Diabetes,550,1,0,58,Wednesday,November,0
2025-10-18,Chen Drugstore,M102,Crocin,Painkiller,35,0,0,83,Saturday,October,1
2025-05-10,Apollo Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,78,Saturday,May,1
2025-10-23,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,1,0,103,Thursday,October,0
2025-05-30,BMS Pharmacy,M106,Insulin,Diabetes,550,0,0,64,Friday,May,0
2025-05-27,Lakshya Medicals,M106,Insulin,Diabetes,550,1,0,81,Tuesday,May,0
2025-08-12,HealthMart,M106,Insulin,Diabetes,550,0,0,58,Tuesday,August,0
2025-03-01,Sara Medicos,M111,Benadryl,Cough,90,0,0,79,Saturday,March,1
2025-01-07,Chen Drugstore,M111,Benadryl,Cough,90,0,0,73,Tuesday,January,0
